'Elapsed time','II','III','AVL','V','MCL1','ABP','PAP'
'181:57:41.824',-0.181,-,-,-,0.160,-,-
'181:57:41.832',-0.078,-,-,-,0.000,-,-
'181:57:41.840',0.000,-,-,-,-0.050,-,-
'181:57:41.848',0.000,-,-,-,0.050,-,-
'181:57:41.856',-0.103,-,-,-,0.050,-,-
'181:57:41.864',-0.155,-,-,-,-0.109,-,-
'181:57:41.872',-0.052,-,-,-,-0.025,-,-
'181:57:41.880',0.026,-,-,-,0.050,-,-
'181:57:41.888',-0.026,-,-,-,0.193,-,-
'181:57:41.896',-0.129,-,-,-,0.218,-,-
'181:57:41.904',-0.078,-,-,-,0.160,-,-
'181:57:41.912',0.026,-,-,-,0.160,-,-
'181:57:41.920',0.052,-,-,-,-0.109,-,-
'181:57:41.928',-0.026,-,-,-,-0.134,-,-
'181:57:41.936',-0.026,-,-,-,0.025,-,-
'181:57:41.944',0.078,-,-,-,0.000,-,-
'181:57:41.952',0.078,-,-,-,0.277,-,-
'181:57:41.960',0.052,-,-,-,0.773,-,-
'181:57:41.968',0.078,-,-,-,0.773,-,-
'181:57:41.976',0.181,-,-,-,0.353,-,-
'181:57:41.984',0.284,-,-,-,0.134,-,-
'181:57:41.992',0.362,-,-,-,0.000,-,-
'181:57:42.000',0.388,-,-,-,-0.050,-,-
'181:57:42.008',0.310,-,-,-,0.277,-,-
'181:57:42.016',0.207,-,-,-,0.605,-,-
'181:57:42.024',0.181,-,-,-,0.471,-,-
'181:57:42.032',0.259,-,-,-,0.193,-,-
'181:57:42.040',0.310,-,-,-,-0.050,-,-
'181:57:42.048',0.129,-,-,-,-0.303,-,-
'181:57:42.056',-0.103,-,-,-,-0.353,-,-
'181:57:42.064',-0.181,-,-,-,-0.160,-,-
'181:57:42.072',-0.103,-,-,-,0.303,-,-
'181:57:42.080',-0.052,-,-,-,0.353,-,-
'181:57:42.088',-0.078,-,-,-,-0.218,-,-
'181:57:42.096',-0.052,-,-,-,0.000,-,-
'181:57:42.104',0.000,-,-,-,0.076,-,-
'181:57:42.112',-0.026,-,-,-,-0.050,-,-
'181:57:42.120',-0.103,-,-,-,-0.134,-,-
'181:57:42.128',-0.129,-,-,-,-0.050,-,-
'181:57:42.136',-0.129,-,-,-,-0.160,-,-
'181:57:42.144',-0.103,-,-,-,0.218,-,-
'181:57:42.152',-0.026,-,-,-,0.000,-,-
'181:57:42.160',0.078,-,-,-,-0.244,-,-
'181:57:42.168',0.103,-,-,-,-0.076,-,-
'181:57:42.176',0.000,-,-,-,0.244,-,-
'181:57:42.184',-0.129,-,-,-,0.277,-,-
'181:57:42.192',-0.181,-,-,-,-0.193,-,-
'181:57:42.200',-0.052,-,-,-,-0.193,-,-
'181:57:42.208',0.129,-,-,-,0.050,-,-
'181:57:42.216',0.207,-,-,-,-0.050,-,-
'181:57:42.224',0.129,-,-,-,-0.076,-,-
'181:57:42.232',0.026,-,-,-,0.160,-,-
'181:57:42.240',0.000,-,-,-,0.244,-,-
'181:57:42.248',0.026,-,-,-,-0.025,-,-
'181:57:42.256',0.000,-,-,-,-0.076,-,-
'181:57:42.264',-0.103,-,-,-,0.218,-,-
'181:57:42.272',-0.181,-,-,-,0.303,-,-
'181:57:42.280',-0.155,-,-,-,-0.353,-,-
'181:57:42.288',-0.078,-,-,-,-0.471,-,-
'181:57:42.296',-0.026,-,-,-,-0.193,-,-
'181:57:42.304',0.000,-,-,-,-0.244,-,-
'181:57:42.312',0.000,-,-,-,0.000,-,-
'181:57:42.320',0.129,-,-,-,0.496,-,-
'181:57:42.328',0.414,-,-,-,0.218,-,-
'181:57:42.336',0.655,-,-,-,-0.353,-,-
'181:57:42.344',0.388,-,-,-,-1.076,-,-
'181:57:42.352',-0.078,-,-,-,-1.218,-,-
'181:57:42.360',-0.207,-,-,-,-0.857,-,-
'181:57:42.368',-0.155,-,-,-,-0.109,-,-
'181:57:42.376',-0.233,-,-,-,0.605,-,-
'181:57:42.384',-0.259,-,-,-,0.639,-,-
'181:57:42.392',-0.155,-,-,-,-0.244,-,-
'181:57:42.400',0.000,-,-,-,-0.277,-,-
'181:57:42.408',0.052,-,-,-,-0.303,-,-
'181:57:42.416',-0.026,-,-,-,-0.160,-,-
'181:57:42.424',-0.129,-,-,-,-0.050,-,-
'181:57:42.432',-0.181,-,-,-,0.050,-,-
'181:57:42.440',-0.233,-,-,-,0.244,-,-
'181:57:42.448',-0.155,-,-,-,0.471,-,-
'181:57:42.456',-0.052,-,-,-,0.328,-,-
'181:57:42.464',0.000,-,-,-,0.160,-,-
'181:57:42.472',0.026,-,-,-,0.050,-,-
'181:57:42.480',0.052,-,-,-,-0.160,-,-
'181:57:42.488',-0.052,-,-,-,-0.303,-,-
'181:57:42.496',-0.078,-,-,-,0.109,-,-
'181:57:42.504',0.052,-,-,-,0.412,-,-
'181:57:42.512',0.103,-,-,-,0.277,-,-
'181:57:42.520',0.078,-,-,-,0.218,-,-
'181:57:42.528',0.129,-,-,-,0.328,-,-
'181:57:42.536',0.207,-,-,-,0.109,-,-
'181:57:42.544',0.207,-,-,-,0.277,-,-
'181:57:42.552',0.259,-,-,-,0.412,-,-
'181:57:42.560',0.259,-,-,-,0.218,-,-
'181:57:42.568',0.259,-,-,-,0.277,-,-
'181:57:42.576',0.233,-,-,-,0.353,-,-
'181:57:42.584',0.233,-,-,-,0.160,-,-
'181:57:42.592',0.181,-,-,-,0.025,-,-
'181:57:42.600',0.078,-,-,-,-0.050,-,-
'181:57:42.608',-0.026,-,-,-,-0.076,-,-
'181:57:42.616',-0.052,-,-,-,0.218,-,-
'181:57:42.624',0.026,-,-,-,-0.109,-,-
'181:57:42.632',-0.026,-,-,-,-0.193,-,-
'181:57:42.640',-0.103,-,-,-,0.160,-,-
'181:57:42.648',-0.129,-,-,-,0.218,-,-
'181:57:42.656',-0.026,-,-,-,-0.050,-,-
'181:57:42.664',-0.026,-,-,-,0.025,-,-
'181:57:42.672',-0.026,-,-,-,-0.050,-,-
'181:57:42.680',-0.026,-,-,-,-0.025,-,-
'181:57:42.688',-0.052,-,-,-,0.000,-,-
'181:57:42.696',-0.181,-,-,-,-0.109,-,-
'181:57:42.704',-0.207,-,-,-,0.050,-,-
'181:57:42.712',-0.078,-,-,-,0.000,-,-
'181:57:42.720',-0.026,-,-,-,0.000,-,-
'181:57:42.728',-0.129,-,-,-,0.050,-,-
'181:57:42.736',-0.155,-,-,-,0.109,-,-
'181:57:42.744',-0.026,-,-,-,-0.050,-,-
'181:57:42.752',0.000,-,-,-,0.000,-,-
'181:57:42.760',0.026,-,-,-,0.050,-,-
'181:57:42.768',0.129,-,-,-,0.134,-,-
'181:57:42.776',0.155,-,-,-,0.000,-,-
'181:57:42.784',0.000,-,-,-,-0.050,-,-
'181:57:42.792',-0.052,-,-,-,0.109,-,-
'181:57:42.800',-0.052,-,-,-,0.160,-,-
'181:57:42.808',-0.026,-,-,-,-0.076,-,-
'181:57:42.816',0.026,-,-,-,-0.160,-,-
'181:57:42.824',0.000,-,-,-,0.000,-,-
'181:57:42.832',-0.078,-,-,-,0.050,-,-
'181:57:42.840',-0.155,-,-,-,-0.134,-,-
'181:57:42.848',-0.129,-,-,-,-0.109,-,-
'181:57:42.856',-0.026,-,-,-,0.050,-,-
'181:57:42.864',0.026,-,-,-,0.218,-,-
'181:57:42.872',0.026,-,-,-,0.050,-,-
'181:57:42.880',0.155,-,-,-,-0.025,-,-
'181:57:42.888',0.500,-,-,-,-0.050,-,-
'181:57:42.896',0.629,-,-,-,-0.193,-,-
'181:57:42.904',0.259,-,-,-,-0.605,-,-
'181:57:42.912',-0.181,-,-,-,-0.916,-,-
'181:57:42.920',-0.362,-,-,-,-0.496,-,-
'181:57:42.928',-0.310,-,-,-,0.000,-,-
'181:57:42.936',-0.233,-,-,-,-0.109,-,-
'181:57:42.944',-0.233,-,-,-,-0.193,-,-
'181:57:42.952',-0.129,-,-,-,-0.160,-,-
'181:57:42.960',0.026,-,-,-,0.050,-,-
'181:57:42.968',0.052,-,-,-,0.218,-,-
'181:57:42.976',-0.207,-,-,-,0.353,-,-
'181:57:42.984',-0.310,-,-,-,0.109,-,-
'181:57:42.992',-0.181,-,-,-,0.000,-,-
'181:57:43.000',-0.052,-,-,-,-0.050,-,-
'181:57:43.008',-0.026,-,-,-,0.000,-,-
'181:57:43.016',0.052,-,-,-,-0.134,-,-
'181:57:43.024',0.103,-,-,-,-0.134,-,-
'181:57:43.032',0.026,-,-,-,0.000,-,-
'181:57:43.040',-0.052,-,-,-,0.160,-,-
'181:57:43.048',-0.129,-,-,-,0.471,-,-
'181:57:43.056',-0.155,-,-,-,0.303,-,-
'181:57:43.064',0.103,-,-,-,-0.050,-,-
'181:57:43.072',0.259,-,-,-,-0.109,-,-
'181:57:43.080',0.259,-,-,-,-0.025,-,-
'181:57:43.088',0.078,-,-,-,0.160,-,-
'181:57:43.096',0.026,-,-,-,0.412,-,-
'181:57:43.104',0.155,-,-,-,0.437,-,-
'181:57:43.112',0.310,-,-,-,0.076,-,-
'181:57:43.120',0.336,-,-,-,0.050,-,-
'181:57:43.128',0.207,-,-,-,0.244,-,-
'181:57:43.136',0.155,-,-,-,0.580,-,-
'181:57:43.144',0.103,-,-,-,0.218,-,-
'181:57:43.152',0.026,-,-,-,-0.109,-,-
'181:57:43.160',0.052,-,-,-,0.050,-,-
'181:57:43.168',0.078,-,-,-,0.076,-,-
'181:57:43.176',-0.026,-,-,-,-0.193,-,-
'181:57:43.184',-0.103,-,-,-,-0.160,-,-
'181:57:43.192',-0.026,-,-,-,-0.076,-,-
'181:57:43.200',0.052,-,-,-,0.000,-,-
'181:57:43.208',0.052,-,-,-,0.050,-,-
'181:57:43.216',-0.026,-,-,-,0.134,-,-
'181:57:43.224',-0.103,-,-,-,0.109,-,-
'181:57:43.232',-0.129,-,-,-,0.218,-,-
'181:57:43.240',-0.026,-,-,-,0.353,-,-
'181:57:43.248',0.000,-,-,-,0.050,-,-
'181:57:43.256',-0.155,-,-,-,-0.134,-,-
'181:57:43.264',-0.181,-,-,-,-0.277,-,-
'181:57:43.272',-0.103,-,-,-,-0.134,-,-
'181:57:43.280',-0.078,-,-,-,0.000,-,-
'181:57:43.288',-0.026,-,-,-,0.109,-,-
'181:57:43.296',0.000,-,-,-,-0.134,-,-
'181:57:43.304',-0.026,-,-,-,-0.193,-,-
'181:57:43.312',-0.026,-,-,-,0.193,-,-
'181:57:43.320',-0.026,-,-,-,0.244,-,-
'181:57:43.328',0.000,-,-,-,0.521,-,-
'181:57:43.336',0.078,-,-,-,0.580,-,-
'181:57:43.344',0.103,-,-,-,-0.193,-,-
'181:57:43.352',0.052,-,-,-,-0.244,-,-
'181:57:43.360',-0.026,-,-,-,-0.134,-,-
'181:57:43.368',-0.026,-,-,-,-0.193,-,-
'181:57:43.376',0.078,-,-,-,0.218,-,-
'181:57:43.384',-0.052,-,-,-,0.303,-,-
'181:57:43.392',-0.207,-,-,-,0.303,-,-
'181:57:43.400',-0.207,-,-,-,0.076,-,-
'181:57:43.408',-0.103,-,-,-,-0.244,-,-
'181:57:43.416',0.000,-,-,-,-0.437,-,-
'181:57:43.424',0.103,-,-,-,-0.160,-,-
'181:57:43.432',0.207,-,-,-,0.050,-,-
'181:57:43.440',0.500,-,-,-,0.134,-,-
'181:57:43.448',0.707,-,-,-,0.193,-,-
'181:57:43.456',0.310,-,-,-,-0.471,-,-
'181:57:43.464',-0.336,-,-,-,-0.748,-,-
'181:57:43.472',-0.466,-,-,-,-0.244,-,-
'181:57:43.480',-0.155,-,-,-,0.134,-,-
'181:57:43.488',-0.026,-,-,-,-0.244,-,-
'181:57:43.496',-0.078,-,-,-,-0.353,-,-
'181:57:43.504',-0.155,-,-,-,-0.025,-,-
'181:57:43.512',-0.052,-,-,-,0.109,-,-
'181:57:43.520',0.052,-,-,-,0.160,-,-
'181:57:43.528',-0.103,-,-,-,0.244,-,-
'181:57:43.536',-0.310,-,-,-,0.277,-,-
'181:57:43.544',-0.362,-,-,-,0.160,-,-
'181:57:43.552',-0.155,-,-,-,0.025,-,-
'181:57:43.560',0.103,-,-,-,-0.025,-,-
'181:57:43.568',0.259,-,-,-,0.025,-,-
'181:57:43.576',0.181,-,-,-,0.193,-,-
'181:57:43.584',-0.026,-,-,-,0.076,-,-
'181:57:43.592',-0.181,-,-,-,0.050,-,-
'181:57:43.600',-0.181,-,-,-,0.277,-,-
'181:57:43.608',-0.052,-,-,-,0.471,-,-
'181:57:43.616',0.129,-,-,-,0.387,-,-
'181:57:43.624',0.155,-,-,-,0.353,-,-
'181:57:43.632',0.103,-,-,-,0.353,-,-
'181:57:43.640',0.155,-,-,-,0.134,-,-
'181:57:43.648',0.284,-,-,-,0.109,-,-
'181:57:43.656',0.284,-,-,-,0.134,-,-
'181:57:43.664',0.207,-,-,-,0.412,-,-
'181:57:43.672',0.155,-,-,-,0.496,-,-
'181:57:43.680',0.207,-,-,-,0.303,-,-
'181:57:43.688',0.284,-,-,-,0.521,-,-
'181:57:43.696',0.310,-,-,-,0.580,-,-
'181:57:43.704',0.129,-,-,-,0.639,-,-
'181:57:43.712',-0.103,-,-,-,0.000,-,-
'181:57:43.720',-0.129,-,-,-,-0.193,-,-
'181:57:43.728',0.052,-,-,-,0.109,-,-
'181:57:43.736',0.181,-,-,-,0.277,-,-
'181:57:43.744',0.103,-,-,-,0.193,-,-
'181:57:43.752',-0.052,-,-,-,0.050,-,-
'181:57:43.760',-0.129,-,-,-,0.025,-,-
'181:57:43.768',-0.155,-,-,-,0.353,-,-
'181:57:43.776',0.000,-,-,-,0.387,-,-
'181:57:43.784',0.129,-,-,-,-0.050,-,-
'181:57:43.792',-0.026,-,-,-,-0.193,-,-
'181:57:43.800',-0.181,-,-,-,0.050,-,-
'181:57:43.808',-0.078,-,-,-,0.160,-,-
'181:57:43.816',0.078,-,-,-,0.025,-,-
'181:57:43.824',0.078,-,-,-,0.134,-,-
'181:57:43.832',-0.052,-,-,-,0.218,-,-
'181:57:43.840',-0.129,-,-,-,0.025,-,-
'181:57:43.848',-0.129,-,-,-,-0.050,-,-
'181:57:43.856',0.000,-,-,-,0.277,-,-
'181:57:43.864',0.078,-,-,-,0.496,-,-
'181:57:43.872',0.103,-,-,-,0.076,-,-
'181:57:43.880',0.078,-,-,-,0.050,-,-
'181:57:43.888',-0.026,-,-,-,0.303,-,-
'181:57:43.896',-0.078,-,-,-,0.050,-,-
'181:57:43.904',0.078,-,-,-,0.109,-,-
'181:57:43.912',0.284,-,-,-,0.000,-,-
'181:57:43.920',0.181,-,-,-,-0.134,-,-
'181:57:43.928',-0.103,-,-,-,0.000,-,-
'181:57:43.936',-0.207,-,-,-,0.353,-,-
'181:57:43.944',-0.078,-,-,-,0.193,-,-
'181:57:43.952',-0.026,-,-,-,0.134,-,-
'181:57:43.960',-0.103,-,-,-,0.109,-,-
'181:57:43.968',-0.181,-,-,-,0.025,-,-
'181:57:43.976',-0.207,-,-,-,0.109,-,-
'181:57:43.984',0.026,-,-,-,0.076,-,-
'181:57:43.992',0.500,-,-,-,0.109,-,-
'181:57:44.000',0.940,-,-,-,-0.277,-,-
'181:57:44.008',0.940,-,-,-,-0.664,-,-
'181:57:44.016',0.052,-,-,-,-0.941,-,-
'181:57:44.024',-0.284,-,-,-,-0.639,-,-
'181:57:44.032',-0.259,-,-,-,-0.193,-,-
'181:57:44.040',-0.181,-,-,-,-0.134,-,-
'181:57:44.048',-0.078,-,-,-,-0.160,-,-
'181:57:44.056',-0.026,-,-,-,0.000,-,-
'181:57:44.064',-0.155,-,-,-,0.160,-,-
'181:57:44.072',-0.207,-,-,-,0.109,-,-
'181:57:44.080',-0.155,-,-,-,0.244,-,-
'181:57:44.088',-0.103,-,-,-,0.353,-,-
'181:57:44.096',-0.052,-,-,-,0.025,-,-
'181:57:44.104',-0.052,-,-,-,-0.353,-,-
'181:57:44.112',-0.052,-,-,-,-0.134,-,-
'181:57:44.120',0.000,-,-,-,0.000,-,-
'181:57:44.128',0.078,-,-,-,0.050,-,-
'181:57:44.136',0.000,-,-,-,0.160,-,-
'181:57:44.144',-0.129,-,-,-,0.109,-,-
'181:57:44.152',-0.052,-,-,-,0.193,-,-
'181:57:44.160',0.052,-,-,-,0.521,-,-
'181:57:44.168',0.052,-,-,-,0.605,-,-
'181:57:44.176',0.052,-,-,-,0.193,-,-
'181:57:44.184',0.103,-,-,-,0.109,-,-
'181:57:44.192',0.259,-,-,-,0.000,-,-
'181:57:44.200',0.440,-,-,-,0.160,-,-
'181:57:44.208',0.310,-,-,-,0.277,-,-
'181:57:44.216',0.026,-,-,-,0.218,-,-
'181:57:44.224',-0.026,-,-,-,0.471,-,-
'181:57:44.232',0.207,-,-,-,0.664,-,-
'181:57:44.240',0.310,-,-,-,0.218,-,-
'181:57:44.248',0.310,-,-,-,0.050,-,-
'181:57:44.256',0.259,-,-,-,0.000,-,-
'181:57:44.264',0.103,-,-,-,0.160,-,-
'181:57:44.272',0.000,-,-,-,0.076,-,-
'181:57:44.280',0.078,-,-,-,-0.050,-,-
'181:57:44.288',0.026,-,-,-,0.109,-,-
'181:57:44.296',-0.052,-,-,-,0.000,-,-
'181:57:44.304',-0.078,-,-,-,-0.134,-,-
'181:57:44.312',-0.155,-,-,-,0.109,-,-
'181:57:44.320',-0.181,-,-,-,0.160,-,-
'181:57:44.328',0.000,-,-,-,-0.076,-,-
'181:57:44.336',0.078,-,-,-,-0.160,-,-
'181:57:44.344',-0.052,-,-,-,0.050,-,-
'181:57:44.352',-0.181,-,-,-,0.076,-,-
'181:57:44.360',-0.129,-,-,-,-0.050,-,-
'181:57:44.368',-0.026,-,-,-,0.244,-,-
'181:57:44.376',0.052,-,-,-,0.000,-,-
'181:57:44.384',0.078,-,-,-,-0.193,-,-
'181:57:44.392',-0.026,-,-,-,0.025,-,-
'181:57:44.400',-0.181,-,-,-,0.244,-,-
'181:57:44.408',-0.103,-,-,-,0.000,-,-
'181:57:44.416',0.078,-,-,-,-0.134,-,-
'181:57:44.424',0.129,-,-,-,0.303,-,-
'181:57:44.432',0.026,-,-,-,0.387,-,-
'181:57:44.440',-0.129,-,-,-,0.050,-,-
'181:57:44.448',-0.026,-,-,-,0.050,-,-
'181:57:44.456',0.181,-,-,-,0.076,-,-
'181:57:44.464',0.207,-,-,-,0.000,-,-
'181:57:44.472',0.078,-,-,-,0.000,-,-
'181:57:44.480',0.000,-,-,-,0.244,-,-
'181:57:44.488',-0.103,-,-,-,0.437,-,-
'181:57:44.496',-0.129,-,-,-,0.471,-,-
'181:57:44.504',-0.155,-,-,-,-0.076,-,-
'181:57:44.512',-0.103,-,-,-,-0.193,-,-
'181:57:44.520',0.026,-,-,-,0.076,-,-
'181:57:44.528',0.052,-,-,-,0.109,-,-
'181:57:44.536',-0.103,-,-,-,-0.109,-,-
'181:57:44.544',0.052,-,-,-,0.496,-,-
'181:57:44.552',0.655,-,-,-,0.277,-,-
'181:57:44.560',0.888,-,-,-,-0.193,-,-
'181:57:44.568',0.284,-,-,-,-0.714,-,-
'181:57:44.576',-0.310,-,-,-,-0.748,-,-
'181:57:44.584',-0.414,-,-,-,-0.050,-,-
'181:57:44.592',-0.233,-,-,-,0.160,-,-
'181:57:44.600',-0.026,-,-,-,0.050,-,-
'181:57:44.608',0.000,-,-,-,0.303,-,-
'181:57:44.616',-0.181,-,-,-,0.437,-,-
'181:57:44.624',-0.233,-,-,-,0.134,-,-
'181:57:44.632',-0.078,-,-,-,0.076,-,-
'181:57:44.640',0.052,-,-,-,0.050,-,-
'181:57:44.648',0.052,-,-,-,0.277,-,-
'181:57:44.656',-0.129,-,-,-,0.387,-,-
'181:57:44.664',-0.181,-,-,-,0.521,-,-
'181:57:44.672',-0.129,-,-,-,0.580,-,-
'181:57:44.680',-0.052,-,-,-,0.580,-,-
'181:57:44.688',0.078,-,-,-,0.580,-,-
'181:57:44.696',0.129,-,-,-,0.412,-,-
'181:57:44.704',-0.052,-,-,-,0.412,-,-
'181:57:44.712',-0.155,-,-,-,0.193,-,-
'181:57:44.720',0.000,-,-,-,0.353,-,-
'181:57:44.728',0.207,-,-,-,0.521,-,-
'181:57:44.736',0.233,-,-,-,0.471,-,-
'181:57:44.744',0.052,-,-,-,0.714,-,-
'181:57:44.752',0.103,-,-,-,0.882,-,-
'181:57:44.760',0.207,-,-,-,0.773,-,-
'181:57:44.768',0.284,-,-,-,0.580,-,-
'181:57:44.776',0.284,-,-,-,0.412,-,-
'181:57:44.784',0.259,-,-,-,0.303,-,-
'181:57:44.792',0.233,-,-,-,0.521,-,-
'181:57:44.800',0.207,-,-,-,0.714,-,-
'181:57:44.808',0.259,-,-,-,0.555,-,-
'181:57:44.816',0.259,-,-,-,0.412,-,-
'181:57:44.824',0.155,-,-,-,0.277,-,-
'181:57:44.832',-0.052,-,-,-,0.218,-,-
'181:57:44.840',-0.233,-,-,-,0.328,-,-
'181:57:44.848',-0.181,-,-,-,0.437,-,-
'181:57:44.856',-0.026,-,-,-,0.303,-,-
'181:57:44.864',0.052,-,-,-,0.160,-,-
'181:57:44.872',0.052,-,-,-,0.353,-,-
'181:57:44.880',0.026,-,-,-,0.496,-,-
'181:57:44.888',-0.078,-,-,-,0.639,-,-
'181:57:44.896',-0.129,-,-,-,0.218,-,-
'181:57:44.904',-0.052,-,-,-,0.076,-,-
'181:57:44.912',0.026,-,-,-,0.134,-,-
'181:57:44.920',-0.129,-,-,-,0.437,-,-
'181:57:44.928',-0.259,-,-,-,0.471,-,-
'181:57:44.936',-0.155,-,-,-,0.353,-,-
'181:57:44.944',0.103,-,-,-,0.218,-,-
'181:57:44.952',0.207,-,-,-,0.025,-,-
'181:57:44.960',0.000,-,-,-,0.328,-,-
'181:57:44.968',-0.181,-,-,-,0.580,-,-
'181:57:44.976',-0.207,-,-,-,0.605,-,-
'181:57:44.984',0.000,-,-,-,0.471,-,-
'181:57:44.992',0.181,-,-,-,0.277,-,-
'181:57:45.000',0.233,-,-,-,0.244,-,-
'181:57:45.008',0.078,-,-,-,0.277,-,-
'181:57:45.016',-0.078,-,-,-,0.109,-,-
'181:57:45.024',-0.155,-,-,-,0.025,-,-
'181:57:45.032',-0.078,-,-,-,0.412,-,-
'181:57:45.040',0.052,-,-,-,0.521,-,-
'181:57:45.048',0.103,-,-,-,0.412,-,-
'181:57:45.056',-0.026,-,-,-,0.580,-,-
'181:57:45.064',-0.181,-,-,-,0.639,-,-
'181:57:45.072',-0.181,-,-,-,0.025,-,-
'181:57:45.080',-0.026,-,-,-,-0.218,-,-
'181:57:45.088',0.052,-,-,-,-0.050,-,-
'181:57:45.096',0.233,-,-,-,0.387,-,-
'181:57:45.104',0.603,-,-,-,0.496,-,-
'181:57:45.112',0.707,-,-,-,0.025,-,-
'181:57:45.120',0.155,-,-,-,-0.471,-,-
'181:57:45.128',-0.310,-,-,-,-0.580,-,-
'181:57:45.136',-0.336,-,-,-,-0.244,-,-
'181:57:45.144',-0.078,-,-,-,0.303,-,-
'181:57:45.152',-0.052,-,-,-,0.387,-,-
'181:57:45.160',-0.284,-,-,-,0.244,-,-
'181:57:45.168',-0.336,-,-,-,0.277,-,-
'181:57:45.176',-0.155,-,-,-,0.193,-,-
'181:57:45.184',0.129,-,-,-,0.328,-,-
'181:57:45.192',0.207,-,-,-,0.134,-,-
'181:57:45.200',-0.052,-,-,-,0.218,-,-
'181:57:45.208',-0.259,-,-,-,0.193,-,-
'181:57:45.216',-0.259,-,-,-,0.303,-,-
'181:57:45.224',-0.052,-,-,-,0.412,-,-
'181:57:45.232',0.078,-,-,-,0.555,-,-
'181:57:45.240',0.078,-,-,-,0.353,-,-
'181:57:45.248',-0.078,-,-,-,0.193,-,-
'181:57:45.256',-0.181,-,-,-,0.134,-,-
'181:57:45.264',-0.078,-,-,-,0.218,-,-
'181:57:45.272',0.181,-,-,-,0.353,-,-
'181:57:45.280',0.233,-,-,-,0.277,-,-
'181:57:45.288',0.129,-,-,-,0.471,-,-
'181:57:45.296',-0.026,-,-,-,0.412,-,-
'181:57:45.304',-0.078,-,-,-,0.555,-,-
'181:57:45.312',0.052,-,-,-,0.664,-,-
'181:57:45.320',0.310,-,-,-,0.521,-,-
'181:57:45.328',0.500,-,-,-,0.303,-,-
'181:57:45.336',0.500,-,-,-,0.218,-,-
'181:57:45.344',0.207,-,-,-,0.328,-,-
'181:57:45.352',0.078,-,-,-,0.471,-,-
'181:57:45.360',0.155,-,-,-,0.639,-,-
'181:57:45.368',0.233,-,-,-,0.277,-,-
'181:57:45.376',0.207,-,-,-,0.025,-,-
'181:57:45.384',0.103,-,-,-,0.218,-,-
'181:57:45.392',-0.052,-,-,-,0.218,-,-
'181:57:45.400',-0.129,-,-,-,0.471,-,-
'181:57:45.408',-0.103,-,-,-,0.109,-,-
'181:57:45.416',-0.052,-,-,-,-0.050,-,-
'181:57:45.424',-0.026,-,-,-,0.109,-,-
'181:57:45.432',0.026,-,-,-,0.218,-,-
'181:57:45.440',0.052,-,-,-,0.025,-,-
'181:57:45.448',0.000,-,-,-,0.000,-,-
'181:57:45.456',-0.155,-,-,-,0.160,-,-
'181:57:45.464',-0.233,-,-,-,0.025,-,-
'181:57:45.472',-0.129,-,-,-,0.471,-,-
'181:57:45.480',0.000,-,-,-,0.555,-,-
'181:57:45.488',0.026,-,-,-,0.109,-,-
'181:57:45.496',0.000,-,-,-,-0.076,-,-
'181:57:45.504',-0.026,-,-,-,-0.134,-,-
'181:57:45.512',-0.026,-,-,-,0.025,-,-
'181:57:45.520',-0.052,-,-,-,0.134,-,-
'181:57:45.528',-0.026,-,-,-,0.303,-,-
'181:57:45.536',0.000,-,-,-,0.160,-,-
'181:57:45.544',-0.026,-,-,-,0.412,-,-
'181:57:45.552',0.052,-,-,-,0.521,-,-
'181:57:45.560',0.129,-,-,-,0.000,-,-
'181:57:45.568',0.155,-,-,-,-0.134,-,-
'181:57:45.576',-0.026,-,-,-,0.025,-,-
'181:57:45.584',-0.078,-,-,-,0.000,-,-
'181:57:45.592',-0.052,-,-,-,0.000,-,-
'181:57:45.600',0.000,-,-,-,0.000,-,-
'181:57:45.608',0.000,-,-,-,0.076,-,-
'181:57:45.616',-0.129,-,-,-,0.160,-,-
'181:57:45.624',-0.207,-,-,-,0.050,-,-
'181:57:45.632',-0.129,-,-,-,0.218,-,-
'181:57:45.640',-0.052,-,-,-,0.353,-,-
'181:57:45.648',0.103,-,-,-,0.050,-,-
'181:57:45.656',0.578,-,-,-,-0.160,-,-
'181:57:45.664',0.888,-,-,-,-0.076,-,-
'181:57:45.672',0.440,-,-,-,-0.798,-,-
'181:57:45.680',-0.207,-,-,-,-0.798,-,-
'181:57:45.688',-0.414,-,-,-,-0.496,-,-
'181:57:45.696',-0.284,-,-,-,-0.303,-,-
'181:57:45.704',-0.155,-,-,-,-0.193,-,-
'181:57:45.712',-0.129,-,-,-,0.000,-,-
'181:57:45.720',-0.129,-,-,-,0.218,-,-
'181:57:45.728',-0.129,-,-,-,0.521,-,-
'181:57:45.736',-0.103,-,-,-,0.218,-,-
'181:57:45.744',-0.052,-,-,-,-0.050,-,-
'181:57:45.752',-0.026,-,-,-,0.025,-,-
'181:57:45.760',-0.078,-,-,-,0.050,-,-
'181:57:45.768',-0.103,-,-,-,0.000,-,-
'181:57:45.776',-0.129,-,-,-,-0.050,-,-
'181:57:45.784',-0.103,-,-,-,0.193,-,-
'181:57:45.792',0.000,-,-,-,0.521,-,-
'181:57:45.800',0.026,-,-,-,0.076,-,-
'181:57:45.808',-0.026,-,-,-,-0.193,-,-
'181:57:45.816',-0.026,-,-,-,-0.050,-,-
'181:57:45.824',-0.026,-,-,-,0.050,-,-
'181:57:45.832',0.026,-,-,-,0.109,-,-
