'Elapsed time','II','III','V','MCL1','ABP'
'35:44:52.752',-0.146,-,-,-,83.160
'35:44:52.760',0.354,-,-,-,82.320
'35:44:52.768',0.833,-,-,-,82.320
'35:44:52.776',0.979,-,-,-,82.320
'35:44:52.784',0.417,-,-,-,81.480
'35:44:52.792',-0.250,-,-,-,81.480
'35:44:52.800',-0.729,-,-,-,80.760
'35:44:52.808',-0.833,-,-,-,80.760
'35:44:52.816',-0.875,-,-,-,79.920
'35:44:52.824',-0.875,-,-,-,79.080
'35:44:52.832',-0.875,-,-,-,79.080
'35:44:52.840',-0.875,-,-,-,79.080
'35:44:52.848',-0.875,-,-,-,78.360
'35:44:52.856',-0.875,-,-,-,77.520
'35:44:52.864',-0.875,-,-,-,76.680
'35:44:52.872',-0.875,-,-,-,75.960
'35:44:52.880',-0.875,-,-,-,75.960
'35:44:52.888',-0.875,-,-,-,76.680
'35:44:52.896',-0.875,-,-,-,79.080
'35:44:52.904',-0.875,-,-,-,85.560
'35:44:52.912',-0.875,-,-,-,98.280
'35:44:52.920',-0.875,-,-,-,115.920
'35:44:52.928',-0.938,-,-,-,138.360
'35:44:52.936',-0.938,-,-,-,160.680
'35:44:52.944',-0.938,-,-,-,179.880
'35:44:52.952',-0.938,-,-,-,179.880
'35:44:52.960',-0.938,-,-,-,179.880
'35:44:52.968',-0.979,-,-,-,179.880
'35:44:52.976',-0.979,-,-,-,179.880
'35:44:52.984',-0.979,-,-,-,179.880
'35:44:52.992',-1.042,-,-,-,179.880
'35:44:53.000',-1.042,-,-,-,179.880
'35:44:53.008',-1.104,-,-,-,171.120
'35:44:53.016',-1.146,-,-,-,160.680
'35:44:53.024',-1.208,-,-,-,151.920
'35:44:53.032',-1.250,-,-,-,143.160
'35:44:53.040',-1.250,-,-,-,135.960
'35:44:53.048',-1.250,-,-,-,129.480
'35:44:53.056',-1.250,-,-,-,123.120
'35:44:53.064',-1.208,-,-,-,119.160
'35:44:53.072',-1.104,-,-,-,115.080
'35:44:53.080',-1.042,-,-,-,111.960
'35:44:53.088',-0.938,-,-,-,109.560
'35:44:53.096',-0.833,-,-,-,108.720
'35:44:53.104',-0.729,-,-,-,107.880
'35:44:53.112',-0.667,-,-,-,107.160
'35:44:53.120',-0.625,-,-,-,107.160
'35:44:53.128',-0.625,-,-,-,107.880
'35:44:53.136',-0.562,-,-,-,108.720
'35:44:53.144',-0.562,-,-,-,110.280
'35:44:53.152',-0.562,-,-,-,111.960
'35:44:53.160',-0.562,-,-,-,113.520
'35:44:53.168',-0.562,-,-,-,115.080
'35:44:53.176',-0.562,-,-,-,116.760
'35:44:53.184',-0.562,-,-,-,117.480
'35:44:53.192',-0.562,-,-,-,117.480
'35:44:53.200',-0.562,-,-,-,117.480
'35:44:53.208',-0.625,-,-,-,116.760
'35:44:53.216',-0.625,-,-,-,115.080
'35:44:53.224',-0.625,-,-,-,113.520
'35:44:53.232',-0.625,-,-,-,111.120
'35:44:53.240',-0.625,-,-,-,109.560
'35:44:53.248',-0.625,-,-,-,107.160
'35:44:53.256',-0.625,-,-,-,104.760
'35:44:53.264',-0.625,-,-,-,103.080
'35:44:53.272',-0.625,-,-,-,100.680
'35:44:53.280',-0.625,-,-,-,98.280
'35:44:53.288',-0.625,-,-,-,96.720
'35:44:53.296',-0.625,-,-,-,94.320
'35:44:53.304',-0.625,-,-,-,92.760
'35:44:53.312',-0.625,-,-,-,91.920
'35:44:53.320',-0.625,-,-,-,91.080
'35:44:53.328',-0.625,-,-,-,91.080
'35:44:53.336',-0.625,-,-,-,90.360
'35:44:53.344',-0.625,-,-,-,89.520
'35:44:53.352',-0.625,-,-,-,89.520
'35:44:53.360',-0.625,-,-,-,88.680
'35:44:53.368',-0.562,-,-,-,88.680
'35:44:53.376',-0.562,-,-,-,88.680
'35:44:53.384',-0.521,-,-,-,88.680
'35:44:53.392',-0.521,-,-,-,87.960
'35:44:53.400',-0.521,-,-,-,87.120
'35:44:53.408',-0.521,-,-,-,86.280
'35:44:53.416',-0.521,-,-,-,85.560
'35:44:53.424',-0.562,-,-,-,85.560
'35:44:53.432',-0.562,-,-,-,84.720
'35:44:53.440',-0.625,-,-,-,83.880
'35:44:53.448',-0.625,-,-,-,83.160
'35:44:53.456',-0.625,-,-,-,83.160
'35:44:53.464',-0.667,-,-,-,82.320
'35:44:53.472',-0.667,-,-,-,82.320
'35:44:53.480',-0.667,-,-,-,82.320
'35:44:53.488',-0.667,-,-,-,83.160
'35:44:53.496',-0.667,-,-,-,83.160
'35:44:53.504',-0.667,-,-,-,83.160
'35:44:53.512',-0.667,-,-,-,83.160
'35:44:53.520',-0.667,-,-,-,83.880
'35:44:53.528',-0.667,-,-,-,83.880
'35:44:53.536',-0.625,-,-,-,83.880
'35:44:53.544',-0.625,-,-,-,83.880
'35:44:53.552',-0.417,-,-,-,83.160
'35:44:53.560',0.000,-,-,-,82.320
'35:44:53.568',0.521,-,-,-,82.320
'35:44:53.576',0.875,-,-,-,82.320
'35:44:53.584',0.875,-,-,-,82.320
'35:44:53.592',0.104,-,-,-,83.160
'35:44:53.600',-0.521,-,-,-,83.160
'35:44:53.608',-0.771,-,-,-,83.160
'35:44:53.616',-0.833,-,-,-,82.320
'35:44:53.624',-0.875,-,-,-,82.320
'35:44:53.632',-0.875,-,-,-,81.480
'35:44:53.640',-0.875,-,-,-,80.760
'35:44:53.648',-0.875,-,-,-,80.760
'35:44:53.656',-0.875,-,-,-,79.920
'35:44:53.664',-0.875,-,-,-,79.920
'35:44:53.672',-0.875,-,-,-,79.920
'35:44:53.680',-0.875,-,-,-,79.920
'35:44:53.688',-0.875,-,-,-,80.760
'35:44:53.696',-0.875,-,-,-,81.480
'35:44:53.704',-0.875,-,-,-,82.320
'35:44:53.712',-0.875,-,-,-,85.560
'35:44:53.720',-0.875,-,-,-,92.760
'35:44:53.728',-0.875,-,-,-,107.880
'35:44:53.736',-0.875,-,-,-,129.480
'35:44:53.744',-0.875,-,-,-,155.880
'35:44:53.752',-0.875,-,-,-,179.160
'35:44:53.760',-0.875,-,-,-,179.880
'35:44:53.768',-0.875,-,-,-,179.880
'35:44:53.776',-0.938,-,-,-,179.880
'35:44:53.784',-0.938,-,-,-,179.880
'35:44:53.792',-0.979,-,-,-,179.880
'35:44:53.800',-0.979,-,-,-,179.880
'35:44:53.808',-1.042,-,-,-,175.920
'35:44:53.816',-1.104,-,-,-,166.320
'35:44:53.824',-1.104,-,-,-,156.720
'35:44:53.832',-1.146,-,-,-,147.120
'35:44:53.840',-1.208,-,-,-,139.080
'35:44:53.848',-1.208,-,-,-,131.160
'35:44:53.856',-1.208,-,-,-,124.680
'35:44:53.864',-1.146,-,-,-,117.480
'35:44:53.872',-1.104,-,-,-,111.960
'35:44:53.880',-1.042,-,-,-,108.720
'35:44:53.888',-0.938,-,-,-,106.320
'35:44:53.896',-0.875,-,-,-,104.760
'35:44:53.904',-0.771,-,-,-,102.360
'35:44:53.912',-0.667,-,-,-,99.960
'35:44:53.920',-0.625,-,-,-,99.120
'35:44:53.928',-0.562,-,-,-,98.280
'35:44:53.936',-0.562,-,-,-,98.280
'35:44:53.944',-0.562,-,-,-,99.120
'35:44:53.952',-0.562,-,-,-,99.960
'35:44:53.960',-0.521,-,-,-,101.520
'35:44:53.968',-0.562,-,-,-,103.080
'35:44:53.976',-0.562,-,-,-,104.760
'35:44:53.984',-0.562,-,-,-,106.320
'35:44:53.992',-0.562,-,-,-,108.720
'35:44:54.000',-0.562,-,-,-,111.120
'35:44:54.008',-0.562,-,-,-,113.520
'35:44:54.016',-0.562,-,-,-,115.080
'35:44:54.024',-0.562,-,-,-,115.080
'35:44:54.032',-0.562,-,-,-,113.520
'35:44:54.040',-0.562,-,-,-,111.960
'35:44:54.048',-0.562,-,-,-,110.280
'35:44:54.056',-0.562,-,-,-,107.880
'35:44:54.064',-0.562,-,-,-,105.480
'35:44:54.072',-0.562,-,-,-,104.760
'35:44:54.080',-0.562,-,-,-,103.080
'35:44:54.088',-0.562,-,-,-,102.360
'35:44:54.096',-0.562,-,-,-,100.680
'35:44:54.104',-0.562,-,-,-,99.960
'35:44:54.112',-0.562,-,-,-,98.280
'35:44:54.120',-0.562,-,-,-,96.720
'35:44:54.128',-0.562,-,-,-,95.160
'35:44:54.136',-0.562,-,-,-,93.480
'35:44:54.144',-0.562,-,-,-,91.080
'35:44:54.152',-0.562,-,-,-,88.680
'35:44:54.160',-0.562,-,-,-,86.280
'35:44:54.168',-0.562,-,-,-,84.720
'35:44:54.176',-0.562,-,-,-,83.880
'35:44:54.184',-0.521,-,-,-,82.320
'35:44:54.192',-0.521,-,-,-,81.480
'35:44:54.200',-0.458,-,-,-,79.920
'35:44:54.208',-0.458,-,-,-,79.080
'35:44:54.216',-0.458,-,-,-,79.080
'35:44:54.224',-0.521,-,-,-,79.080
'35:44:54.232',-0.521,-,-,-,78.360
'35:44:54.240',-0.562,-,-,-,76.680
'35:44:54.248',-0.562,-,-,-,75.960
'35:44:54.256',-0.625,-,-,-,75.120
'35:44:54.264',-0.625,-,-,-,75.120
'35:44:54.272',-0.625,-,-,-,74.280
'35:44:54.280',-0.625,-,-,-,73.560
'35:44:54.288',-0.625,-,-,-,71.880
'35:44:54.296',-0.667,-,-,-,69.480
'35:44:54.304',-0.667,-,-,-,66.360
'35:44:54.312',-0.625,-,-,-,63.960
'35:44:54.320',-0.625,-,-,-,63.120
'35:44:54.328',-0.667,-,-,-,63.120
'35:44:54.336',-0.667,-,-,-,63.960
'35:44:54.344',-0.625,-,-,-,63.960
'35:44:54.352',-0.521,-,-,-,63.960
'35:44:54.360',-0.208,-,-,-,64.680
'35:44:54.368',0.250,-,-,-,65.520
'35:44:54.376',0.729,-,-,-,66.360
'35:44:54.384',0.875,-,-,-,67.920
'35:44:54.392',0.458,-,-,-,69.480
'35:44:54.400',-0.146,-,-,-,71.880
'35:44:54.408',-0.667,-,-,-,72.720
'35:44:54.416',-0.833,-,-,-,73.560
'35:44:54.424',-0.833,-,-,-,73.560
'35:44:54.432',-0.875,-,-,-,72.720
'35:44:54.440',-0.875,-,-,-,71.880
'35:44:54.448',-0.875,-,-,-,70.320
'35:44:54.456',-0.875,-,-,-,69.480
'35:44:54.464',-0.875,-,-,-,68.760
'35:44:54.472',-0.875,-,-,-,68.760
'35:44:54.480',-0.875,-,-,-,69.480
'35:44:54.488',-0.833,-,-,-,69.480
'35:44:54.496',-0.875,-,-,-,70.320
'35:44:54.504',-0.875,-,-,-,72.720
'35:44:54.512',-0.875,-,-,-,76.680
'35:44:54.520',-0.875,-,-,-,85.560
'35:44:54.528',-0.875,-,-,-,97.560
'35:44:54.536',-0.875,-,-,-,114.360
'35:44:54.544',-0.875,-,-,-,133.560
'35:44:54.552',-0.875,-,-,-,151.080
'35:44:54.560',-0.875,-,-,-,165.480
'35:44:54.568',-0.875,-,-,-,175.920
'35:44:54.576',-0.938,-,-,-,179.880
'35:44:54.584',-0.938,-,-,-,179.880
'35:44:54.592',-0.938,-,-,-,179.880
'35:44:54.600',-0.979,-,-,-,178.320
'35:44:54.608',-1.042,-,-,-,171.960
'35:44:54.616',-1.042,-,-,-,163.920
'35:44:54.624',-1.104,-,-,-,155.160
'35:44:54.632',-1.146,-,-,-,147.120
'35:44:54.640',-1.208,-,-,-,138.360
'35:44:54.648',-1.208,-,-,-,130.320
'35:44:54.656',-1.250,-,-,-,123.120
'35:44:54.664',-1.208,-,-,-,116.760
'35:44:54.672',-1.146,-,-,-,111.960
'35:44:54.680',-1.104,-,-,-,107.160
'35:44:54.688',-0.979,-,-,-,103.080
'35:44:54.696',-0.938,-,-,-,99.960
'35:44:54.704',-0.833,-,-,-,97.560
'35:44:54.712',-0.729,-,-,-,95.880
'35:44:54.720',-0.667,-,-,-,95.160
'35:44:54.728',-0.625,-,-,-,94.320
'35:44:54.736',-0.562,-,-,-,94.320
'35:44:54.744',-0.562,-,-,-,95.160
'35:44:54.752',-0.562,-,-,-,95.880
'35:44:54.760',-0.562,-,-,-,96.720
'35:44:54.768',-0.562,-,-,-,99.120
'35:44:54.776',-0.562,-,-,-,102.360
'35:44:54.784',-0.562,-,-,-,104.760
'35:44:54.792',-0.562,-,-,-,105.480
'35:44:54.800',-0.562,-,-,-,105.480
'35:44:54.808',-0.562,-,-,-,105.480
'35:44:54.816',-0.562,-,-,-,106.320
'35:44:54.824',-0.562,-,-,-,106.320
'35:44:54.832',-0.562,-,-,-,105.480
'35:44:54.840',-0.562,-,-,-,105.480
'35:44:54.848',-0.562,-,-,-,103.920
'35:44:54.856',-0.562,-,-,-,102.360
'35:44:54.864',-0.562,-,-,-,99.120
'35:44:54.872',-0.562,-,-,-,96.720
'35:44:54.880',-0.562,-,-,-,94.320
'35:44:54.888',-0.625,-,-,-,91.920
'35:44:54.896',-0.625,-,-,-,90.360
'35:44:54.904',-0.625,-,-,-,88.680
'35:44:54.912',-0.625,-,-,-,87.120
'35:44:54.920',-0.625,-,-,-,85.560
'35:44:54.928',-0.625,-,-,-,83.880
'35:44:54.936',-0.625,-,-,-,83.160
'35:44:54.944',-0.625,-,-,-,82.320
'35:44:54.952',-0.625,-,-,-,81.480
'35:44:54.960',-0.625,-,-,-,80.760
'35:44:54.968',-0.625,-,-,-,79.080
'35:44:54.976',-0.625,-,-,-,77.520
'35:44:54.984',-0.562,-,-,-,75.960
'35:44:54.992',-0.562,-,-,-,75.120
'35:44:55.000',-0.521,-,-,-,75.120
'35:44:55.008',-0.521,-,-,-,74.280
'35:44:55.016',-0.521,-,-,-,74.280
'35:44:55.024',-0.562,-,-,-,73.560
'35:44:55.032',-0.562,-,-,-,73.560
'35:44:55.040',-0.562,-,-,-,73.560
'35:44:55.048',-0.625,-,-,-,73.560
'35:44:55.056',-0.625,-,-,-,73.560
'35:44:55.064',-0.667,-,-,-,73.560
'35:44:55.072',-0.667,-,-,-,73.560
'35:44:55.080',-0.667,-,-,-,73.560
'35:44:55.088',-0.667,-,-,-,74.280
'35:44:55.096',-0.667,-,-,-,75.120
'35:44:55.104',-0.667,-,-,-,75.960
'35:44:55.112',-0.667,-,-,-,76.680
'35:44:55.120',-0.667,-,-,-,76.680
'35:44:55.128',-0.667,-,-,-,78.360
'35:44:55.136',-0.667,-,-,-,79.080
'35:44:55.144',-0.625,-,-,-,79.920
'35:44:55.152',-0.562,-,-,-,79.080
'35:44:55.160',-0.312,-,-,-,79.080
'35:44:55.168',0.104,-,-,-,78.360
'35:44:55.176',0.667,-,-,-,78.360
'35:44:55.184',0.938,-,-,-,78.360
'35:44:55.192',0.938,-,-,-,77.520
'35:44:55.200',0.000,-,-,-,76.680
'35:44:55.208',-0.562,-,-,-,76.680
'35:44:55.216',-0.833,-,-,-,75.960
'35:44:55.224',-0.875,-,-,-,75.120
'35:44:55.232',-0.875,-,-,-,74.280
'35:44:55.240',-0.875,-,-,-,72.720
'35:44:55.248',-0.875,-,-,-,71.160
'35:44:55.256',-0.875,-,-,-,69.480
'35:44:55.264',-0.875,-,-,-,67.920
'35:44:55.272',-0.875,-,-,-,66.360
'35:44:55.280',-0.875,-,-,-,65.520
'35:44:55.288',-0.875,-,-,-,64.680
'35:44:55.296',-0.833,-,-,-,64.680
'35:44:55.304',-0.833,-,-,-,64.680
'35:44:55.312',-0.833,-,-,-,67.920
'35:44:55.320',-0.833,-,-,-,74.280
'35:44:55.328',-0.833,-,-,-,85.560
'35:44:55.336',-0.875,-,-,-,102.360
'35:44:55.344',-0.875,-,-,-,122.280
'35:44:55.352',-0.875,-,-,-,143.160
'35:44:55.360',-0.875,-,-,-,159.960
'35:44:55.368',-0.875,-,-,-,173.520
'35:44:55.376',-0.875,-,-,-,179.880
'35:44:55.384',-0.938,-,-,-,179.880
'35:44:55.392',-0.938,-,-,-,179.880
'35:44:55.400',-0.938,-,-,-,179.880
'35:44:55.408',-0.979,-,-,-,175.080
'35:44:55.416',-0.979,-,-,-,168.720
'35:44:55.424',-1.042,-,-,-,160.680
'35:44:55.432',-1.104,-,-,-,152.760
'35:44:55.440',-1.146,-,-,-,144.720
'35:44:55.448',-1.146,-,-,-,137.520
'35:44:55.456',-1.146,-,-,-,129.480
'35:44:55.464',-1.146,-,-,-,122.280
'35:44:55.472',-1.146,-,-,-,115.920
'35:44:55.480',-1.104,-,-,-,110.280
'35:44:55.488',-0.979,-,-,-,104.760
'35:44:55.496',-0.875,-,-,-,99.960
'35:44:55.504',-0.771,-,-,-,95.160
'35:44:55.512',-0.667,-,-,-,91.920
'35:44:55.520',-0.625,-,-,-,89.520
'35:44:55.528',-0.562,-,-,-,87.960
'35:44:55.536',-0.521,-,-,-,87.120
'35:44:55.544',-0.458,-,-,-,86.280
'35:44:55.552',-0.458,-,-,-,85.560
'35:44:55.560',-0.458,-,-,-,86.280
'35:44:55.568',-0.458,-,-,-,88.680
'35:44:55.576',-0.458,-,-,-,91.080
'35:44:55.584',-0.458,-,-,-,94.320
'35:44:55.592',-0.458,-,-,-,96.720
'35:44:55.600',-0.458,-,-,-,99.120
'35:44:55.608',-0.458,-,-,-,100.680
'35:44:55.616',-0.521,-,-,-,101.520
'35:44:55.624',-0.521,-,-,-,100.680
'35:44:55.632',-0.458,-,-,-,99.960
'35:44:55.640',-0.458,-,-,-,99.960
'35:44:55.648',-0.521,-,-,-,99.120
'35:44:55.656',-0.521,-,-,-,98.280
'35:44:55.664',-0.521,-,-,-,97.560
'35:44:55.672',-0.458,-,-,-,96.720
'35:44:55.680',-0.458,-,-,-,94.320
'35:44:55.688',-0.521,-,-,-,92.760
'35:44:55.696',-0.521,-,-,-,89.520
'35:44:55.704',-0.521,-,-,-,87.120
'35:44:55.712',-0.458,-,-,-,85.560
'35:44:55.720',-0.458,-,-,-,83.880
'35:44:55.728',-0.458,-,-,-,82.320
'35:44:55.736',-0.458,-,-,-,80.760
'35:44:55.744',-0.521,-,-,-,79.920
'35:44:55.752',-0.521,-,-,-,79.920
'35:44:55.760',-0.521,-,-,-,79.080
'35:44:55.768',-0.458,-,-,-,78.360
'35:44:55.776',-0.458,-,-,-,76.680
'35:44:55.784',-0.458,-,-,-,74.280
'35:44:55.792',-0.417,-,-,-,72.720
'35:44:55.800',-0.417,-,-,-,71.880
'35:44:55.808',-0.417,-,-,-,71.880
'35:44:55.816',-0.417,-,-,-,71.160
'35:44:55.824',-0.417,-,-,-,71.160
'35:44:55.832',-0.417,-,-,-,71.160
'35:44:55.840',-0.458,-,-,-,71.160
'35:44:55.848',-0.458,-,-,-,70.320
'35:44:55.856',-0.521,-,-,-,69.480
'35:44:55.864',-0.521,-,-,-,68.760
'35:44:55.872',-0.562,-,-,-,67.920
'35:44:55.880',-0.562,-,-,-,67.920
'35:44:55.888',-0.562,-,-,-,67.920
'35:44:55.896',-0.521,-,-,-,68.760
'35:44:55.904',-0.521,-,-,-,68.760
'35:44:55.912',-0.562,-,-,-,69.480
'35:44:55.920',-0.562,-,-,-,69.480
'35:44:55.928',-0.562,-,-,-,68.760
'35:44:55.936',-0.562,-,-,-,68.760
'35:44:55.944',-0.562,-,-,-,68.760
'35:44:55.952',-0.521,-,-,-,68.760
'35:44:55.960',-0.312,-,-,-,68.760
'35:44:55.968',0.104,-,-,-,70.320
'35:44:55.976',0.667,-,-,-,71.160
'35:44:55.984',0.979,-,-,-,71.880
'35:44:55.992',0.979,-,-,-,71.880
'35:44:56.000',0.104,-,-,-,71.880
'35:44:56.008',-0.521,-,-,-,71.160
'35:44:56.016',-0.771,-,-,-,69.480
'35:44:56.024',-0.833,-,-,-,68.760
'35:44:56.032',-0.833,-,-,-,67.920
'35:44:56.040',-0.833,-,-,-,67.080
'35:44:56.048',-0.833,-,-,-,67.080
'35:44:56.056',-0.833,-,-,-,67.080
'35:44:56.064',-0.875,-,-,-,66.360
'35:44:56.072',-0.875,-,-,-,65.520
'35:44:56.080',-0.875,-,-,-,64.680
'35:44:56.088',-0.833,-,-,-,64.680
'35:44:56.096',-0.833,-,-,-,63.960
'35:44:56.104',-0.833,-,-,-,64.680
'35:44:56.112',-0.833,-,-,-,67.080
'35:44:56.120',-0.833,-,-,-,72.720
'35:44:56.128',-0.833,-,-,-,83.160
'35:44:56.136',-0.833,-,-,-,99.120
'35:44:56.144',-0.875,-,-,-,119.160
'35:44:56.152',-0.938,-,-,-,139.080
'35:44:56.160',-0.938,-,-,-,157.560
'35:44:56.168',-0.938,-,-,-,171.960
'35:44:56.176',-0.938,-,-,-,179.880
'35:44:56.184',-0.938,-,-,-,179.880
'35:44:56.192',-0.979,-,-,-,179.880
'35:44:56.200',-0.979,-,-,-,179.880
'35:44:56.208',-1.042,-,-,-,179.880
'35:44:56.216',-1.042,-,-,-,177.480
'35:44:56.224',-1.104,-,-,-,171.120
'35:44:56.232',-1.146,-,-,-,162.360
'35:44:56.240',-1.208,-,-,-,153.480
'35:44:56.248',-1.208,-,-,-,145.560
'35:44:56.256',-1.208,-,-,-,136.680
'35:44:56.264',-1.208,-,-,-,128.760
'35:44:56.272',-1.208,-,-,-,122.280
'35:44:56.280',-1.146,-,-,-,116.760
'35:44:56.288',-1.042,-,-,-,111.960
'35:44:56.296',-0.938,-,-,-,107.880
'35:44:56.304',-0.833,-,-,-,104.760
'35:44:56.312',-0.729,-,-,-,102.360
'35:44:56.320',-0.667,-,-,-,100.680
'35:44:56.328',-0.667,-,-,-,98.280
'35:44:56.336',-0.625,-,-,-,96.720
'35:44:56.344',-0.562,-,-,-,95.880
'35:44:56.352',-0.562,-,-,-,95.160
'35:44:56.360',-0.521,-,-,-,95.160
'35:44:56.368',-0.458,-,-,-,95.880
'35:44:56.376',-0.562,-,-,-,97.560
'35:44:56.384',-0.625,-,-,-,99.120
'35:44:56.392',-0.562,-,-,-,101.520
'35:44:56.400',-0.562,-,-,-,103.920
'35:44:56.408',-0.562,-,-,-,106.320
'35:44:56.416',-0.562,-,-,-,107.880
'35:44:56.424',-0.562,-,-,-,109.560
'35:44:56.432',-0.562,-,-,-,109.560
'35:44:56.440',-0.625,-,-,-,109.560
'35:44:56.448',-0.625,-,-,-,108.720
'35:44:56.456',-0.625,-,-,-,107.880
'35:44:56.464',-0.562,-,-,-,106.320
'35:44:56.472',-0.562,-,-,-,104.760
'35:44:56.480',-0.625,-,-,-,103.080
'35:44:56.488',-0.625,-,-,-,100.680
'35:44:56.496',-0.625,-,-,-,98.280
'35:44:56.504',-0.625,-,-,-,96.720
'35:44:56.512',-0.625,-,-,-,94.320
'35:44:56.520',-0.625,-,-,-,92.760
'35:44:56.528',-0.625,-,-,-,90.360
'35:44:56.536',-0.625,-,-,-,88.680
'35:44:56.544',-0.562,-,-,-,87.960
'35:44:56.552',-0.562,-,-,-,86.280
'35:44:56.560',-0.625,-,-,-,85.560
'35:44:56.568',-0.625,-,-,-,84.720
'35:44:56.576',-0.562,-,-,-,83.880
'35:44:56.584',-0.521,-,-,-,83.160
'35:44:56.592',-0.562,-,-,-,83.160
'35:44:56.600',-0.521,-,-,-,82.320
'35:44:56.608',-0.521,-,-,-,82.320
'35:44:56.616',-0.458,-,-,-,82.320
'35:44:56.624',-0.458,-,-,-,82.320
'35:44:56.632',-0.521,-,-,-,82.320
'35:44:56.640',-0.521,-,-,-,81.480
'35:44:56.648',-0.562,-,-,-,81.480
'35:44:56.656',-0.562,-,-,-,80.760
'35:44:56.664',-0.625,-,-,-,79.920
'35:44:56.672',-0.667,-,-,-,79.080
'35:44:56.680',-0.625,-,-,-,78.360
'35:44:56.688',-0.625,-,-,-,78.360
'35:44:56.696',-0.625,-,-,-,77.520
'35:44:56.704',-0.625,-,-,-,77.520
'35:44:56.712',-0.625,-,-,-,77.520
'35:44:56.720',-0.667,-,-,-,76.680
'35:44:56.728',-0.667,-,-,-,76.680
'35:44:56.736',-0.667,-,-,-,76.680
'35:44:56.744',-0.625,-,-,-,76.680
'35:44:56.752',-0.562,-,-,-,76.680
'35:44:56.760',-0.458,-,-,-,76.680
'35:44:56.768',-0.146,-,-,-,77.520
'35:44:56.776',0.354,-,-,-,77.520
'35:44:56.784',0.833,-,-,-,77.520
'35:44:56.792',0.979,-,-,-,77.520
'35:44:56.800',0.458,-,-,-,76.680
'35:44:56.808',-0.250,-,-,-,76.680
'35:44:56.816',-0.729,-,-,-,76.680
'35:44:56.824',-0.833,-,-,-,75.960
'35:44:56.832',-0.771,-,-,-,75.120
'35:44:56.840',-0.833,-,-,-,75.120
'35:44:56.848',-0.875,-,-,-,74.280
'35:44:56.856',-0.833,-,-,-,73.560
'35:44:56.864',-0.875,-,-,-,73.560
'35:44:56.872',-0.875,-,-,-,72.720
'35:44:56.880',-0.833,-,-,-,72.720
'35:44:56.888',-0.771,-,-,-,71.880
'35:44:56.896',-0.833,-,-,-,71.880
'35:44:56.904',-0.833,-,-,-,72.720
'35:44:56.912',-0.833,-,-,-,74.280
'35:44:56.920',-0.833,-,-,-,78.360
'35:44:56.928',-0.833,-,-,-,87.120
'35:44:56.936',-0.833,-,-,-,100.680
'35:44:56.944',-0.833,-,-,-,119.160
'35:44:56.952',-0.833,-,-,-,138.360
'35:44:56.960',-0.833,-,-,-,157.560
'35:44:56.968',-0.833,-,-,-,173.520
'35:44:56.976',-0.833,-,-,-,179.880
'35:44:56.984',-0.875,-,-,-,179.880
'35:44:56.992',-0.875,-,-,-,179.880
'35:44:57.000',-0.875,-,-,-,179.880
'35:44:57.008',-0.979,-,-,-,179.880
'35:44:57.016',-0.979,-,-,-,179.880
'35:44:57.024',-0.979,-,-,-,176.760
'35:44:57.032',-1.104,-,-,-,169.560
'35:44:57.040',-1.146,-,-,-,161.520
'35:44:57.048',-1.208,-,-,-,153.480
'35:44:57.056',-1.208,-,-,-,145.560
'35:44:57.064',-1.146,-,-,-,138.360
'35:44:57.072',-1.104,-,-,-,131.160
'35:44:57.080',-1.104,-,-,-,125.520
'35:44:57.088',-1.042,-,-,-,119.880
'35:44:57.096',-0.979,-,-,-,115.920
'35:44:57.104',-0.875,-,-,-,112.680
'35:44:57.112',-0.771,-,-,-,109.560
'35:44:57.120',-0.667,-,-,-,107.160
'35:44:57.128',-0.625,-,-,-,105.480
'35:44:57.136',-0.562,-,-,-,104.760
'35:44:57.144',-0.521,-,-,-,103.920
'35:44:57.152',-0.521,-,-,-,103.920
'35:44:57.160',-0.521,-,-,-,103.920
'35:44:57.168',-0.458,-,-,-,104.760
'35:44:57.176',-0.521,-,-,-,106.320
'35:44:57.184',-0.521,-,-,-,107.880
'35:44:57.192',-0.521,-,-,-,109.560
'35:44:57.200',-0.521,-,-,-,111.120
'35:44:57.208',-0.521,-,-,-,111.960
'35:44:57.216',-0.521,-,-,-,113.520
'35:44:57.224',-0.521,-,-,-,113.520
'35:44:57.232',-0.521,-,-,-,113.520
'35:44:57.240',-0.562,-,-,-,112.680
'35:44:57.248',-0.562,-,-,-,111.120
'35:44:57.256',-0.562,-,-,-,108.720
'35:44:57.264',-0.562,-,-,-,107.160
'35:44:57.272',-0.562,-,-,-,104.760
'35:44:57.280',-0.521,-,-,-,103.080
'35:44:57.288',-0.562,-,-,-,101.520
'35:44:57.296',-0.562,-,-,-,99.120
'35:44:57.304',-0.562,-,-,-,97.560
'35:44:57.312',-0.521,-,-,-,95.880
'35:44:57.320',-0.562,-,-,-,94.320
'35:44:57.328',-0.562,-,-,-,92.760
'35:44:57.336',-0.562,-,-,-,91.080
'35:44:57.344',-0.562,-,-,-,90.360
'35:44:57.352',-0.562,-,-,-,89.520
'35:44:57.360',-0.562,-,-,-,88.680
'35:44:57.368',-0.562,-,-,-,87.960
'35:44:57.376',-0.521,-,-,-,87.120
'35:44:57.384',-0.458,-,-,-,86.280
'35:44:57.392',-0.521,-,-,-,85.560
'35:44:57.400',-0.521,-,-,-,84.720
'35:44:57.408',-0.521,-,-,-,84.720
